date,campaign_name,channel,spend,impressions,clicks,conversions,revenue,roas,cac
2024-01-05,Yeni Yıl İndirimi,Google Ads,25000,485000,12500,420,252000,10.1,60
2024-01-05,Yeni Yıl İndirimi,Meta Ads,18000,620000,18600,510,306000,17.0,35
2024-01-05,Yeni Yıl İndirimi,Email,5000,45000,4500,280,168000,33.6,18
2024-01-12,Kış Koleksiyonu,Google Ads,22000,450000,11250,380,228000,10.4,58
2024-01-12,Kış Koleksiyonu,Meta Ads,16000,580000,17400,460,276000,17.3,35
2024-01-19,Kış Koleksiyonu,Google Ads,23000,465000,11625,395,237000,10.3,58
2024-01-19,Kış Koleksiyonu,Meta Ads,17000,600000,18000,480,288000,16.9,35
2024-01-26,Kış Koleksiyonu,Google Ads,24000,475000,11875,410,246000,10.3,59
2024-01-26,Kış Koleksiyonu,Meta Ads,17500,610000,18300,495,297000,17.0,35
2024-02-09,Sevgililer Günü,Google Ads,32000,620000,15500,580,348000,10.9,55
2024-02-09,Sevgililer Günü,Meta Ads,28000,850000,25500,780,468000,16.7,36
2024-02-09,Sevgililer Günü,Email,8000,65000,6500,420,252000,31.5,19
2024-02-16,Bahar Lansmanı,Google Ads,26000,510000,12750,435,261000,10.0,60
2024-02-16,Bahar Lansmanı,Meta Ads,19000,650000,19500,530,318000,16.7,36
2024-02-23,Bahar Lansmanı,Google Ads,27000,525000,13125,450,270000,10.0,60
2024-02-23,Bahar Lansmanı,Meta Ads,20000,670000,20100,550,330000,16.5,36
2024-03-01,Kadınlar Günü,Google Ads,35000,680000,17000,625,375000,10.7,56
2024-03-01,Kadınlar Günü,Meta Ads,30000,920000,27600,840,504000,16.8,36
2024-03-01,Kadınlar Günü,Email,10000,75000,7500,510,306000,30.6,20
2024-03-08,Bahar İndirimi,Google Ads,28000,545000,13625,465,279000,10.0,60
2024-03-08,Bahar İndirimi,Meta Ads,21000,690000,20700,565,339000,16.1,37
2024-03-15,Bahar İndirimi,Google Ads,29000,560000,14000,480,288000,9.9,60
2024-03-15,Bahar İndirimi,Meta Ads,22000,710000,21300,580,348000,15.8,38
2024-03-22,Yaz Koleksiyonu,Google Ads,30000,575000,14375,495,297000,9.9,61
2024-03-22,Yaz Koleksiyonu,Meta Ads,23000,730000,21900,600,360000,15.7,38
2024-03-29,Yaz Koleksiyonu,Google Ads,31000,585000,14625,505,303000,9.8,61
2024-03-29,Yaz Koleksiyonu,Meta Ads,24000,745000,22350,615,369000,15.4,39
2024-04-12,Ramazan Kampanyası,Google Ads,28000,545000,13625,465,279000,10.0,60
2024-04-12,Ramazan Kampanyası,Meta Ads,21000,690000,20700,565,339000,16.1,37
2024-04-26,Yaz Lansmanı,Google Ads,27000,530000,13250,450,270000,10.0,60
2024-04-26,Yaz Lansmanı,Meta Ads,20000,670000,20100,550,330000,16.5,36
2024-05-10,Anneler Günü,Google Ads,33000,640000,16000,590,354000,10.7,56
2024-05-10,Anneler Günü,Meta Ads,29000,870000,26100,800,480000,16.6,36
2024-05-24,Yaz İndirimi,Google Ads,26000,515000,12875,440,264000,10.2,59
2024-05-24,Yaz İndirimi,Meta Ads,19000,655000,19650,535,321000,16.9,36
2024-06-07,Tatil Özel,Google Ads,24000,480000,12000,410,246000,10.3,59
2024-06-07,Tatil Özel,Meta Ads,18000,610000,18300,495,297000,16.5,36
2024-06-21,Sezon Sonu,Google Ads,22000,450000,11250,385,231000,10.5,57
2024-06-21,Sezon Sonu,Meta Ads,16000,580000,17400,465,279000,17.4,34






