Date,Revenue,COGS,Gross_Profit,Operating_Expenses,Operating_Income,Interest_Expense,Tax,Net_Income,Gross_Margin,Net_Margin,EBITDA
2024-01-31,2850000,1353750,1496250,685000,811250,45000,155000,611250,52.5,21.4,685000
2024-02-29,3120000,1459200,1660800,720000,940800,42000,175000,723800,53.2,23.2,720000
2024-03-31,3450000,1587000,1863000,795000,1068000,40000,205000,823000,54.0,23.9,795000
2024-04-30,3280000,1546080,1733920,750000,983920,43000,188000,752920,52.9,23.0,750000
2024-05-31,3650000,1679750,1970250,820000,1150250,38000,222000,890250,54.0,24.4,820000
2024-06-30,3890000,1767050,2122950,865000,1257950,35000,245000,977950,54.6,25.1,865000
2024-07-31,4150000,1869500,2280500,920000,1360500,33000,265000,1062500,55.0,25.6,920000
2024-08-31,3950000,1795900,2154100,880000,1274100,36000,248000,990100,54.5,25.1,880000
2024-09-30,4320000,1944800,2375200,980000,1395200,32000,273000,1090200,55.0,25.2,980000
2024-10-31,4580000,2061400,2518600,1050000,1468600,30000,288000,1150600,55.0,25.1,1050000
2024-11-30,4250000,1913500,2336500,960000,1376500,34000,268000,1074500,55.0,25.3,960000
2024-12-31,4650000,2093500,2556500,1120000,1436500,28000,282000,1126500,55.0,24.2,1120000








